Subject,succesfull,age,gender,career,semester,last_semester,social,dad_career,mom_career,earns,Treatment,Answer_agree_driver_sanction,The_phrase_you_look_prettier_when_you_are_quiet_means_to_you,why_did_you_decide_to_study_the_career_you_are_studying?
IP18,4,17,Femenino,Administracion,1,0,Estrato 6,Maestria,Especializacion,Mayor a 1.300.001,1,0,Que a veces la gente habla de mas y queda mal ante los otros,Le gusta la carrera
IP19,3,17,Masculino,Administracion,1,0,Estrato 6,Especializacion,Titulo Universitario ,Entre 800.001 a 1.000.000,1,0,Que hay ciertas cosas de las que la gente no deberia enterarse,Se destaca en la materia
"IP20,3,24,Masculino,Economia,10,1,Estrato 4,Titulo Universitario ,Titulo Universitario ,Entre 800.001 a 1.000.000,1,2,Que hay ciertas cosas de las que la gente no deberia enterarse,""Interes social, politico y economico"""
IP21,0,17,Masculino,Economia,1,0,Estrato 6,Maestria,Maestria,Entre 300.001 a 500.000,1,1,Que hay ciertas cosas de las que la gente no deberia enterarse,Se destaca en la materia
IP22,3,17,Masculino,Contabilidad,1,0,Estrato 3,Maestria,Especializacion,Entre 500.001 a 800.000,1,2,Que hay ciertas cosas de las que la gente no deberia enterarse,Le gusta la carrera
IP23,2,17,Femenino,Contabilidad,1,0,Estrato 2,Tecnico o Tecnologo ,Titulo Universitario ,Menor a 99.999,1,2,Que a veces la gente habla de mas y queda mal ante los otros,Le gusta la carrera
IP24,3,20,Masculino,Administracion,7,1,Estrato 6,Maestria,Especializacion,Entre 500.001 a 800.000,1,0,Que hay ciertas cosas de las que la gente no deberia enterarse,Se destaca en la materia
IP25,4,17,Femenino,Economia,1,0,Estrato 5,Titulo Universitario ,Especializacion,Mayor a 1.300.001,1,0,Que a veces la gente habla de mas y queda mal ante los otros,Se destaca en la materia
IP26,1,18,Masculino,Administracion,1,0,Estrato 3,Tecnico o Tecnologo ,Especializacion,Entre 300.001 a 500.000,1,0,Que hay ciertas cosas de las que la gente no deberia enterarse,Le gusta la carrera
IP27,4,18,Femenino,Administracion,1,0,Estrato 6,Doctorado,Especializacion,Entre 500.001 a 800.000,1,2,Que a veces la gente habla de mas y queda mal ante los otros,Se destaca en la materia
IP28,2,18,Masculino,Finanzas,1,0,Estrato 4,Maestria,Titulo Universitario ,Entre 800.001 a 1.000.000,1,2,Que a veces la gente habla de mas y queda mal ante los otros,Se destaca en la materia
IP29,4,22,Masculino,Finanzas,9,1,Estrato 2,Doctorado,Maestria,Mayor a 1.300.001,1,0,Que nadie se entere de las cosas que hago,Se destaca en la materia
IP30,1,20,Masculino,Administracion,8,1,Estrato 4,Maestria,Maestria,Entre 300.001 a 500.000,1,2,Que hay ciertas cosas de las que la gente no deberia enterarse,Le gusta la carrera
"IP31,3,17,Masculino,Economia,1,0,Estrato 1,Bachillerato,Tecnico o Tecnologo ,Menor a 99.999,1,0,Que nadie se entere de las cosas que hago,""Interes social, politico y economico"""
"IP32,1,18,Femenino,Economia,3,0,Estrato 4,Especializacion,Especializacion,Entre 500.001 a 800.000,1,0,Que hay ciertas cosas de las que la gente no deberia enterarse,""Interes social, politico y economico"""
IP33,3,20,Masculino,Economia,8,1,Estrato 4,Maestria,Titulo Universitario ,Entre 300.001 a 500.000,1,3,Que a veces la gente habla de mas y queda mal ante los otros,Oferta en el mercado laboral
IP34,3,21,Masculino,Economia,9,1,Estrato 3,Titulo Universitario ,Bachillerato,Entre 300.001 a 500.000,1,4,Que a veces la gente habla de mas y queda mal ante los otros,Oferta en el mercado laboral
IP35,0,18,Femenino,Administracion,1,0,Estrato 3,Titulo Universitario ,Titulo Universitario ,Entre 100.000 a 300.000,1,0,Que hay ciertas cosas de las que la gente no deberia enterarse,Le gusta la carrera
"IP36,2,20,Femenino,Economia,8,1,Estrato 4,Especializacion,Titulo Universitario ,Entre 300.001 a 500.000,1,0,Que a veces la gente habla de mas y queda mal ante los otros,""Interes social, politico y economico"""
IP37,1,19,Femenino,Economia,3,0,Estrato 3,Titulo Universitario ,Titulo Universitario ,Entre 100.000 a 300.000,1,4,Que a veces la gente habla de mas y queda mal ante los otros,Oferta en el mercado laboral
IP38,1,23,Femenino,Administracion,10,1,Estrato 3,Bachillerato,Bachillerato,Entre 300.001 a 500.000,1,5,Que hay ciertas cosas de las que la gente no deberia enterarse,Oferta en el mercado laboral
IP39,4,20,Masculino,Finanzas,8,1,Estrato 3,Maestria,Titulo Universitario ,Entre 800.001 a 1.000.000,1,7,Que nadie se entere de las cosas que hago,Se destaca en la materia
IP40,2,17,Femenino,Administracion,1,0,Estrato 3,Especializacion,Especializacion,Entre 100.000 a 300.000,1,4,Que a veces la gente habla de mas y queda mal ante los otros,Oferta en el mercado laboral
IP41,3,18,Femenino,Contabilidad,1,0,Estrato 3,Titulo Universitario ,Titulo Universitario ,Menor a 99.999,1,9,Que a veces la gente habla de mas y queda mal ante los otros,Le gusta la carrera
IP42,1,23,Masculino,Administracion,9,1,Estrato 6,Titulo Universitario ,Titulo Universitario ,Entre 500.001 a 800.000,1,0,Que hay ciertas cosas de las que la gente no deberia enterarse,Oferta en el mercado laboral
IP43,3,22,Masculino,Administracion,8,1,Estrato 4,Titulo Universitario ,Tecnico o Tecnologo ,Entre 300.001 a 500.000,1,0,Que hay ciertas cosas de las que la gente no deberia enterarse,Oferta en el mercado laboral
IP44,3,21,Masculino,Administracion,8,1,Estrato 3,Bachillerato,Tecnico o Tecnologo ,Entre 500.001 a 800.000,1,3,Que a veces la gente habla de mas y queda mal ante los otros,Oferta en el mercado laboral
IP45,3,22,Femenino,Administracion,8,1,Estrato 5,Especializacion,Especializacion,Entre 800.001 a 1.000.000,1,3,Que a veces la gente habla de mas y queda mal ante los otros,Oferta en el mercado laboral
IP46,3,15,Masculino,Administracion,1,0,Estrato 3,Tecnico o Tecnologo ,Bachillerato,Entre 100.000 a 300.000,1,0,Que hay ciertas cosas de las que la gente no deberia enterarse,Le gusta la carrera
"IP47,2,18,Masculino,Economia,1,0,Estrato 4,Maestria,Titulo Universitario ,Entre 300.001 a 500.000,1,0,Que nadie se entere de las cosas que hago,""Interes social, politico y economico"""
IP48,3,21,Masculino,Administracion,9,1,Estrato 3,Especializacion,Tecnico o Tecnologo ,Entre 100.000 a 300.000,1,4,Que hay ciertas cosas de las que la gente no deberia enterarse,Oferta en el mercado laboral
